timestamp,script,model,score,iterations,exit_code,stdout,data,env
2026-08-28T05:38:36.110798+00:00,bit__rd_example__as_bit_Rd,gemma,1.0000,1,0,0.0000,,
2026-08-28T05:40:58.945676+00:00,broom__rd_example__tidy_mlm_Rd,gemma,0.4326,1,0,0.0000,0.5000,0.0000
2026-08-28T05:41:08.154913+00:00,crayon__rd_example__combine_styles_Rd,gemma,0.8500,0,0,0.0000,0.0000,
2026-08-28T05:42:08.695003+00:00,diffobj__rd_example__as_character-DiffSummary-method_Rd,gemma,0.5968,1,0,0.0488,1.0000,0.0000
2026-08-28T05:44:19.198807+00:00,gert__rd_example__git_repo_Rd,gemma,0.5986,1,0,0.0122,0.0000,0.0000
2026-08-28T05:46:56.721345+00:00,ggplot2__rd_example__ggplot_Rd,gemma,0.3892,1,0,0.2574,0.3333,0.0000
2026-08-28T05:49:00.490593+00:00,ggplot2__rd_example__stat_ecdf_Rd,gemma,0.6772,1,0,0.2097,0.6667,0.0000
2026-08-28T05:50:08.506408+00:00,httr2__rd_example__resp_content_type_Rd,gemma,0.8500,1,0,0.0377,0.0000,0.0000
2026-08-28T05:52:00.981885+00:00,tidyr__vignette__programming_s2,gemma,0.0000,1,1,0.0000,,0.0000
2026-08-28T05:52:12.619311+00:00,vctrs__vignette__s3-vector_s1,gemma,1.0000,0,0,0.0000,,0.0000
2026-08-28T05:53:09.409258+00:00,bit__rd_example__as_bit_Rd,haiku,1.0000,1,0,0.0000,,
2026-08-28T05:56:10.210682+00:00,broom__rd_example__tidy_mlm_Rd,haiku,0.4624,1,0,0.0078,0.0000,0.0000
2026-08-28T05:57:04.987245+00:00,crayon__rd_example__combine_styles_Rd,haiku,0,0,-1,,,
2026-08-28T05:58:29.645809+00:00,diffobj__rd_example__as_character-DiffSummary-method_Rd,haiku,0.5889,1,0,0.0152,1.0000,0.0000
2026-08-28T06:00:22.977302+00:00,gert__rd_example__git_repo_Rd,haiku,0.5821,1,0,0.0000,0.0000,0.0000
2026-08-28T06:02:59.411099+00:00,ggplot2__rd_example__ggplot_Rd,haiku,0.1267,1,0,0.0000,0.0000,0.0000
2026-08-28T06:05:39.547643+00:00,ggplot2__rd_example__stat_ecdf_Rd,haiku,0.7106,1,0,0.2097,0.7108,0.0000
2026-08-28T06:07:10.419336+00:00,httr2__rd_example__resp_content_type_Rd,haiku,0.8500,1,0,0.0377,0.0000,0.0000
2026-08-28T06:09:00.267858+00:00,tidyr__vignette__programming_s2,haiku,0.0000,1,1,0.0000,,0.0000
2026-08-28T06:09:25.558252+00:00,vctrs__vignette__s3-vector_s1,haiku,1.0000,0,0,0.0000,,0.0000
2026-08-28T06:10:56.736803+00:00,bit__rd_example__as_bit_Rd,sonnet,1.0000,1,0,0.0000,,
2026-08-28T06:15:07.230577+00:00,broom__rd_example__tidy_mlm_Rd,sonnet,0.4725,1,0,0.0000,0.5000,0.0000
2026-08-28T06:15:36.529559+00:00,crayon__rd_example__combine_styles_Rd,sonnet,0.8500,0,0,0.0000,0.0000,
2026-08-28T06:17:32.611685+00:00,diffobj__rd_example__as_character-DiffSummary-method_Rd,sonnet,0.9973,1,0,0.0000,1.0000,0.0000
2026-08-28T06:23:07.334706+00:00,gert__rd_example__git_repo_Rd,sonnet,0.5930,1,0,0.0122,0.0000,0.0000
2026-08-28T06:29:16.282033+00:00,ggplot2__rd_example__ggplot_Rd,sonnet,0.3892,1,0,0.0000,0.3333,0.0000
2026-08-28T06:33:06.180523+00:00,ggplot2__rd_example__stat_ecdf_Rd,sonnet,0.6772,1,0,0.2097,0.6667,0.0000
2026-08-28T06:33:58.785042+00:00,httr2__rd_example__resp_content_type_Rd,sonnet,0.8766,0,0,0.0000,0.4247,0.0000
2026-08-28T06:36:24.450486+00:00,tidyr__vignette__programming_s2,sonnet,0.7103,1,0,0.0000,,0.0000
2026-08-28T06:36:48.609664+00:00,vctrs__vignette__s3-vector_s1,sonnet,1.0000,0,0,0.0000,,0.0000
2026-08-28T07:17:56.246651+00:00,bit__rd_example__as_bit_Rd,opus,1.0000,1,0,0.0000,,
2026-08-28T07:17:56.248267+00:00,bit__rd_example__as_bit_Rd,opus,0,0,-1,,,
2026-08-28T07:21:27.283389+00:00,broom__rd_example__tidy_mlm_Rd,opus,0.5407,1,0,0.0000,0.3303,0.0000
2026-08-28T07:21:27.285128+00:00,broom__rd_example__tidy_mlm_Rd,opus,0,0,-1,,,
2026-08-28T07:21:54.041230+00:00,crayon__rd_example__combine_styles_Rd,opus,0.8500,0,0,0.0000,0.0000,
2026-08-28T07:21:54.043182+00:00,crayon__rd_example__combine_styles_Rd,opus,0,0,-1,,,
2026-08-28T07:24:50.662557+00:00,diffobj__rd_example__as_character-DiffSummary-method_Rd,opus,1.0000,1,0,0.0000,1.0000,0.0000
2026-08-28T07:24:50.663013+00:00,diffobj__rd_example__as_character-DiffSummary-method_Rd,opus,0,0,-1,,,
2026-08-28T07:29:20.734604+00:00,gert__rd_example__git_repo_Rd,opus,0.5957,1,0,0.0122,0.0000,0.0000
2026-08-28T07:29:20.734997+00:00,gert__rd_example__git_repo_Rd,opus,0,0,-1,,,
2026-08-28T07:33:34.149440+00:00,ggplot2__rd_example__ggplot_Rd,opus,0.1614,1,0,0.2574,0.0000,0.0000
2026-08-28T07:33:34.149840+00:00,ggplot2__rd_example__ggplot_Rd,opus,0,0,-1,,,
2026-08-28T07:36:30.011468+00:00,ggplot2__rd_example__stat_ecdf_Rd,opus,0.7106,1,0,0.2097,0.7108,0.0000
2026-08-28T07:36:30.011858+00:00,ggplot2__rd_example__stat_ecdf_Rd,opus,0,0,-1,,,
2026-08-28T07:38:30.244238+00:00,httr2__rd_example__resp_content_type_Rd,opus,0.8500,1,0,0.0377,0.0000,0.0000
2026-08-28T07:38:30.244613+00:00,httr2__rd_example__resp_content_type_Rd,opus,0,0,-1,,,
2026-08-28T07:40:10.142626+00:00,tidyr__vignette__programming_s2,opus,1.0000,1,0,0.0221,,0.0000
2026-08-28T07:40:10.143035+00:00,tidyr__vignette__programming_s2,opus,0,0,-1,,,
2026-08-28T07:40:22.058798+00:00,vctrs__vignette__s3-vector_s1,opus,1.0000,0,0,0.0000,,0.0000
2026-08-28T07:40:22.059222+00:00,vctrs__vignette__s3-vector_s1,opus,0,0,-1,,,
